Tree ID,Planting Date,Height (m),Status,Health,spc_latin,spc_common,Borough Code,Latitude,Longitude
009847,2016-06-04,6,True,Poor,Gleditsia triacanthos var. inermis,honeylocust,4,40.78383186,-73.78507667
082318,2016-07-21,2,True,Fair,Fraxinus pennsylvanica,green ash,1,40.82883579,-73.94815476
219868,2016-09-12,31,True,Good,Quercus palustris,pin oak,4,40.70233848,-73.82735473
696552,2016-09-04,3,True,Fair,Zelkova serrata,Japanese zelkova,4,40.73316579,-73.80299578
699839,2016-09-06,10,True,Good,Tilia cordata,littleleaf linden,3,40.64583767,-73.95101977
403109,2016-10-30,3,True,Good,Amelanchier,serviceberry,5,40.63877439,-74.07898764
503851,2016-12-08,3,True,Good,Prunus,cherry,2,40.81951928,-73.85979134
052892,2016-07-07,4,True,Good,Quercus bicolor,swamp white oak,5,40.59981683,-74.16303159
660651,2016-08-09,28,True,Good,Acer saccharinum,silver maple,4,40.75957435,-73.78594144
506677,2016-12-09,11,True,Good,Tilia cordata,littleleaf linden,2,40.82926849,-73.87040987
358537,2016-10-21,22,True,Good,Prunus,cherry,4,40.66396793,-73.83721405
488985,2016-11-30,26,True,Fair,Acer,maple,2,40.85110943,-73.89344025
642617,2016-07-27,22,True,Good,Platanus x acerifolia,London planetree,4,40.73563268,-73.7497539
151404,2016-08-16,7,True,Good,Pyrus calleryana,Callery pear,4,40.72469161,-73.78270755
527841,2016-12-20,20,True,Good,Zelkova serrata,Japanese zelkova,3,40.62957683,-73.97571038
589426,2016-06-16,20,True,Good,Ginkgo biloba,ginkgo,4,40.74152791,-73.70702481
070644,2016-07-16,9,True,Good,Ulmus parvifolia,Chinese elm,5,40.61083733,-74.18527663
583586,2016-06-12,2,False,,,,4,40.70679372,-73.90963594
625247,2016-07-13,12,True,Good,Fraxinus pennsylvanica,green ash,3,40.63398367,-74.00258392
374924,2016-10-25,5,True,Good,Prunus,cherry,4,40.60256191,-73.74795313
155777,2016-08-18,13,True,Fair,Tilia cordata,littleleaf linden,1,40.78340041,-73.97695338
089077,2016-07-23,6,True,Good,Pyrus calleryana,Callery pear,4,40.79090333,-73.83904533
254202,2016-09-24,12,True,Good,Ginkgo biloba,ginkgo,4,40.71917449,-73.75119602
700800,2016-09-07,2,True,Good,Juniperus virginiana,eastern redcedar,4,40.65461657,-73.84786798
055581,2016-07-08,13,True,Good,Platanus x acerifolia,London planetree,3,40.61608001,-73.96880643
